route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
1 40D c a,284,5901_11627,Tyrrelstown,17912,0,5901_7778195_8040024,5901_244
1 40D c a,284,5901_11631,Tyrrelstown,18053,0,5901_7778195_8040025,5901_244
1 40D c a,284,5901_11633,Tyrrelstown,17843,0,5901_7778195_8040026,5901_244
1 40D c a,284,5901_11638,Tyrrelstown,17897,0,5901_7778195_8040029,5901_244
1 40D c a,284,5901_11641,Tyrrelstown,17891,0,5901_7778195_8040030,5901_244
1 40D c a,284,5901_11645,Tyrrelstown,17914,0,5901_7778195_8040031,5901_244
1 40D c a,284,5901_11648,Tyrrelstown,17924,0,5901_7778195_8040033,5901_244
1 40D c a,284,5901_11650,Tyrrelstown,17829,0,5901_7778195_8040040,5901_244
1 40D c a,284,5901_11652,Tyrrelstown,17827,0,5901_7778195_8040042,5901_244
1 40D c a,284,5901_11656,Tyrrelstown,17945,0,5901_7778195_8040045,5901_244
1 40D c a,284,5901_11658,Tyrrelstown,17901,0,5901_7778195_8040037,5901_244
1 40D c a,284,5901_11660,Tyrrelstown,17917,0,5901_7778195_8040049,5901_244
1 40D c a,284,5901_11664,Tyrrelstown,17938,0,5901_7778195_8040039,5901_244
1 40D c a,284,5901_11666,Tyrrelstown,17959,0,5901_7778195_8040050,5901_244
1 40D c a,284,5901_11670,Tyrrelstown,17825,0,5901_7778195_8040043,5901_244
1 40D c a,284,5901_11671,Tyrrelstown,17940,0,5901_7778195_8040044,5901_244
1 40D c a,284,5901_11673,Tyrrelstown,17928,0,5901_7778195_8040047,5901_244
1 40D c a,284,5901_11678,Tyrrelstown,17955,0,5901_7778195_8040048,5901_244
1 40D c a,284,5901_11679,Tyrrelstown,17831,0,5901_7778195_8040040,5901_244
1 40D c a,284,5901_11683,Tyrrelstown,17947,0,5901_7778195_8040045,5901_244
1 40D c a,284,5901_11685,Tyrrelstown,17919,0,5901_7778195_8040049,5901_245
1 40D c a,284,5901_11689,Tyrrelstown,17961,0,5901_7778195_8040050,5901_245
1 40D c a,284,5901_11692,Tyrrelstown,17969,0,5901_7778195_8040053,5901_245
1 40D c a,284,5901_11693,Tyrrelstown,17949,0,5901_7778195_8040056,5901_245
1 40D c a,284,5901_11698,Tyrrelstown,17972,0,5901_7778195_8040054,5901_245
1 40D c a,284,5901_11700,Tyrrelstown,17975,0,5901_7778195_8050058,5901_246
1 40D c a,284,5901_11704,Tyrrelstown,17953,0,5901_7778195_8040059,5901_245
1 40D c a,284,5901_11705,Tyrrelstown,17951,0,5901_7778195_8040056,5901_245
1 40D c a,284,5901_11710,Parnell St,17840,1,5901_7778195_8040003,5901_248
1 40D c a,284,5901_11711,Parnell St,18045,1,5901_7778195_8040005,5901_248
1 40D c a,284,5901_11713,Parnell St,17852,1,5901_7778195_8040009,5901_248
1 40D c a,284,5901_11716,Parnell St,17861,1,5901_7778195_8040011,5901_249
1 40D c a,284,5901_11719,Parnell St,17892,1,5901_7778195_8040014,5901_248
1 40D c a,284,5901_11721,Parnell St,17850,1,5901_7778195_8040004,5901_249
1 40D c a,284,5901_11724,Parnell St,17833,1,5901_7778195_8040006,5901_248
1 40D c a,284,5901_11726,Parnell St,17867,1,5901_7778195_8040008,5901_249
1 40D c a,284,5901_11729,Parnell St,17869,1,5901_7778195_8040010,5901_248
1 40D c a,284,5901_11731,Parnell St,17898,1,5901_7778195_8040016,5901_249
1 40D c a,284,5901_11734,Parnell St,18044,1,5901_7778195_8040001,5901_248
1 40D c a,284,5901_11736,Parnell St,18047,1,5901_7778195_8040005,5901_248
1 40D c a,284,5901_11740,Parnell St,17854,1,5901_7778195_8040009,5901_248
1 40D c a,284,5901_11744,Parnell St,17895,1,5901_7778195_8040015,5901_249
1 40D c a,284,5901_11747,Parnell St,17907,1,5901_7778195_8040019,5901_248
1 40D c a,284,5901_11752,Parnell St,17822,1,5901_7778195_8040022,5901_248
1 40D c a,284,5901_11754,Parnell St,17911,1,5901_7778195_8040024,5901_248
1 40D c a,284,5901_11759,Parnell St,18052,1,5901_7778195_8040025,5901_248
1 40D c a,284,5901_11761,Parnell St,17842,1,5901_7778195_8040026,5901_249
1 40D c a,284,5901_11765,Parnell St,17896,1,5901_7778195_8040029,5901_248
1 40D c a,284,5901_11769,Parnell St,17890,1,5901_7778195_8040030,5901_248
1 40D c a,284,5901_11772,Parnell St,17913,1,5901_7778195_8040031,5901_248
1 40D c a,284,5901_11775,Parnell St,17923,1,5901_7778195_8040033,5901_248
1 40D c a,284,5901_11778,Parnell St,17926,1,5901_7778195_8040034,5901_249
1 40D c a,284,5901_11782,Parnell St,17900,1,5901_7778195_8040037,5901_248
1 40D c a,284,5901_11786,Parnell St,17937,1,5901_7778195_8040039,5901_248
1 40D c a,284,5901_11787,Parnell St,17906,1,5901_7778195_8040036,5901_248
1 40D c a,284,5901_11790,Parnell St,17824,1,5901_7778195_8040043,5901_248
1 40D c a,284,5901_11793,Parnell St,17939,1,5901_7778195_8040044,5901_248
1 40D c a,284,5901_11795,Parnell St,17927,1,5901_7778195_8040047,5901_248
1 40D c a,284,5901_11798,Parnell St,17954,1,5901_7778195_8040048,5901_248
1 40D c a,284,5901_11801,Parnell St,17925,1,5901_7778195_8040033,5901_248
1 40D c a,284,5901_11803,Parnell St,17830,1,5901_7778195_8040040,5901_248
1 40D c a,284,5901_11806,Parnell St,17828,1,5901_7778195_8040042,5901_249
1 40D c a,284,5901_11809,Parnell St,17946,1,5901_7778195_8040045,5901_248
1 40D c a,284,5901_11811,Parnell St,17857,1,5901_7778195_8040041,5901_248
1 40D c a,284,5901_11814,Parnell St,17918,1,5901_7778195_8040049,5901_248
1 40D c a,284,5901_11817,Parnell St,17960,1,5901_7778195_8040050,5901_248
1 40D c a,284,5901_11821,Parnell St,17968,1,5901_7778195_8040053,5901_248
1 40D c a,284,5901_11823,Parnell St,17958,1,5901_7778195_8040051,5901_248
1 40D c a,284,5901_11826,Parnell St,17948,1,5901_7778195_8040056,5901_249
1 40D c a,284,5901_11830,Parnell St,17971,1,5901_7778195_8040054,5901_248
1 40D c a,284,5901_11832,Parnell St,17974,1,5901_7778195_8050058,5901_249
1 40D c a,284,5901_11836,Parnell St,17952,1,5901_7778195_8040059,5901_248
1 40D c a,284,5901_11837,Parnell St,17950,1,5901_7778195_8040056,5901_248
1 40D c a,284,5901_11842,Parnell St,17973,1,5901_7778195_8040054,5901_248
1 40D c a,284,5901_11844,Parnell St,17976,1,5901_7778195_8050058,5901_249
1 41X c a,284,5901_12921,Swords Manor,18020,0,5901_7778195_11311215,5901_280
1 41X c a,284,5901_12922,Knocksedan,18018,0,5901_7778195_11311214,5901_281
1 41X c a,284,5901_12924,Swords Manor,18056,0,5901_7778195_8808216,5901_280
1 41X c a,284,5901_12926,UCD,18031,1,5901_7778195_8808116,5901_283
1 41X c a,284,5901_12928,UCD,18019,1,5901_7778195_11311115,5901_282
1 41X c a,284,5901_12930,UCD,18011,1,5901_7778195_11311105,5901_286
1 41X c a,284,5901_12933,UCD,18008,1,5901_7778195_11311104,5901_282
1 41X c a,284,5901_12934,UCD,18054,1,5901_7778195_11311114,5901_284
